id,英文名稱,課程名稱,週次,該週開始日期,該週結束日期,註冊人數,購買人數,完課人數
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week15,2016-10-19,2016-10-25,108,4,4
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week16,2016-10-26,2016-11-01,95,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week17,2016-11-02,2016-11-08,111,2,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week18,2016-11-09,2016-11-15,140,1,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week19,2016-11-16,2016-11-22,138,1,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week20,2016-11-23,2016-11-29,117,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week21,2016-11-30,2016-12-06,111,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week22,2016-12-07,2016-12-13,142,0,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week23,2016-12-14,2016-12-20,142,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week24,2016-12-21,2016-12-27,122,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week25,2016-12-28,2017-01-03,127,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week26,2017-01-04,2017-01-10,177,2,5
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week27,2017-01-11,2017-01-17,162,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week28,2017-01-18,2017-01-24,123,1,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week29,2017-01-25,2017-01-31,100,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week30,2017-02-01,2017-02-07,212,2,4
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week31,2017-02-08,2017-02-14,136,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week32,2017-02-15,2017-02-21,146,2,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week33,2017-02-22,2017-02-28,113,2,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week34,2017-03-01,2017-03-07,145,5,4
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week35,2017-03-08,2017-03-14,164,2,5
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week36,2017-03-15,2017-03-21,136,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week37,2017-03-22,2017-03-28,227,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week38,2017-03-29,2017-04-04,137,2,1
