id,英文名稱,課程名稱,作業名稱,作業類型,繳交人數,通過人數,通過率
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,網格及樓層檢核,phased peer,15,9,0.60
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,地上層樓梯檢核,phased peer,8,6,0.75
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,建立屋頂層模型,phased peer,8,6,0.75
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,建立斜牆,phased peer,7,5,0.71
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,建立裝修材,phased peer,8,7,0.88
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,建立周遭建物,phased peer,6,4,0.67
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,估算工程所需的混凝土體積,phased peer,5,4,0.80
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,估算門窗元件數量,phased peer,5,4,0.80
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,建立4D工程模擬,phased peer,5,4,0.80
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,工程數量檢視,phased peer,4,3,0.75
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,模型驗收,phased peer,4,3,0.75
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,設計變更4D工程模擬,phased peer,4,3,0.75
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,工程數量檢視,phased peer,3,3,1.00
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,模型驗收,phased peer,3,3,1.00
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,設計變更4D工程模擬,phased peer,3,3,1.00
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,綜整成果,phased peer,2,2,1.00
6,shiji,史記（一）（Shi-ji (1) ）,第一次作業,phased peer,316,210,0.66
6,shiji,史記（一）（Shi-ji (1) ）,第二次作業,phased peer,216,169,0.78
6,shiji,史記（一）（Shi-ji (1) ）,第三次作業,phased peer,172,138,0.80
7,tang-poems,唐詩新思路,第一講 選擇題測驗,exam,1195,578,0.48
7,tang-poems,唐詩新思路,第二講 選擇題測驗,exam,800,512,0.64
7,tang-poems,唐詩新思路,第三講 互評題測驗,phased peer,100,44,0.44
7,tang-poems,唐詩新思路,第三講 選擇題測驗,exam,667,478,0.72
7,tang-poems,唐詩新思路,第四講 選擇題測驗,exam,531,365,0.69
7,tang-poems,唐詩新思路,第五講 互評題測驗,phased peer,91,61,0.67
7,tang-poems,唐詩新思路,第五講 選擇題測驗,exam,487,358,0.74
7,tang-poems,唐詩新思路,第六講 選擇題測驗,exam,442,334,0.76
8,ji-chu-guang-xue,基礎光學 I,光學簡介,exam,1459,247,0.17
